community,school_name,year,initiative,students_reached,modality,notes,health_authority,lat,lon
Penticton,Penticton Learning Centre,2024,Rural Pre-Health Stream,86,Virtual,Mentor Q&A,Interior Health,49.4991,-119.5937
Prince George,Prince George Secondary,2024,Rural Pre-Health Stream,68,Hybrid,Mentor Q&A,Northern Health,53.9171,-122.7497
Quesnel,Quesnel Elem School,2024,High School Mentoring,86,In-person,Workshop,Northern Health,52.9784,-122.4927
Revelstoke,Revelstoke Elem School,2024,Rural Pre-Health Stream,47,Hybrid,Career panel,Interior Health,50.9971,-118.1957
Revelstoke,Revelstoke Secondary,2024,Rural Pre-Health Stream,126,In-person,Career panel,Interior Health,50.9971,-118.1957
Salmon Arm,Salmon Arm College,2024,Rural Pre-Health Stream,81,Virtual,Mentor Q&A,Interior Health,50.7026,-119.272
Smithers,Smithers Elem School,2024,REAP Presentation,150,Hybrid,Mentor Q&A,Northern Health,54.7804,-127.1743
Squamish,Squamish College,2024,High School Mentoring,53,Hybrid,Career panel,Vancouver Coastal,49.7016,-123.1558
Squamish,Squamish High School,2024,Rural Pre-Health Stream,26,Virtual,Mentor Q&A,Vancouver Coastal,49.7016,-123.1558
Squamish,Squamish Learning Centre,2024,REAP Presentation,68,Hybrid,Mentor Q&A,Vancouver Coastal,49.7016,-123.1558
Terrace,Terrace High School,2024,Rural Pre-Health Stream,110,In-person,Application tips,Northern Health,54.5164,-128.6035
Vernon,Vernon Learning Centre,2024,High School Mentoring,81,Virtual,Mentor Q&A,Interior Health,50.267,-119.272
Victoria,Victoria Secondary,2024,High School Mentoring,106,In-person,Mentor Q&A,Island Health,48.4284,-123.3656
Victoria,Victoria Secondary,2024,High School Mentoring,90,Hybrid,Mentor Q&A,Island Health,48.4284,-123.3656
Courtenay,Courtenay College,2025,High School Mentoring,95,Virtual,Mentor Q&A,Island Health,49.6866,-124.9936
Cranbrook,Cranbrook College,2025,REAP Presentation,136,Virtual,Application tips,Interior Health,49.512,-115.7694
Fort St. John,Fort St. John Community School,2025,High School Mentoring,86,Hybrid,Application tips,Northern Health,56.2524,-120.8467
Kamloops,Kamloops High School,2025,REAP Presentation,117,In-person,Workshop,Interior Health,50.6745,-120.3273
Kelowna,Kelowna College,2025,REAP Presentation,123,Hybrid,Career panel,Interior Health,49.888,-119.496
Kitimat,Kitimat High School,2025,Rural Pre-Health Stream,27,Hybrid,Workshop,Northern Health,54.0524,-128.653
Nanaimo,Nanaimo Elem School,2025,Rural Pre-Health Stream,55,In-person,Career panel,Island Health,49.1659,-123.9401
Nanaimo,Nanaimo Learning Centre,2025,REAP Presentation,97,In-person,Career panel,Island Health,49.1659,-123.9401
Quesnel,Quesnel Secondary,2025,High School Mentoring,18,Virtual,Workshop,Northern Health,52.9784,-122.4927
Salmon Arm,Salmon Arm College,2025,Rural Pre-Health Stream,55,Hybrid,Application tips,Interior Health,50.7026,-119.272
Squamish,Squamish College,2025,High School Mentoring,93,In-person,Career panel,Vancouver Coastal,49.7016,-123.1558
Terrace,Terrace High School,2025,High School Mentoring,66,Hybrid,Mentor Q&A,Northern Health,54.5164,-128.6035
Trail,Trail Elem School,2025,Rural Pre-Health Stream,30,Virtual,Application tips,Interior Health,49.0955,-117.7119
Vancouver,Vancouver High School,2025,High School Mentoring,55,Hybrid,Application tips,Vancouver Coastal,49.2827,-123.1207
Vancouver,Vancouver Learning Centre,2025,Rural Pre-Health Stream,23,Virtual,Career panel,Vancouver Coastal,49.2827,-123.1207
Whistler,Whistler High School,2025,High School Mentoring,60,Hybrid,Mentor Q&A,Vancouver Coastal,50.1163,-122.9574
Williams Lake,Williams Lake Elem School,2025,High School Mentoring,78,Virtual,Workshop,Interior Health,52.1415,-122.1417
